location,month,characteristic,monthly_mean,monthly_median,n_samples
des_moines,2011-11-01,Sulfate,68.5,68.5,2
des_moines,2011-11-01,Total dissolved solids,415.0,415.0,2
des_moines,2011-12-01,Chloride,73.83333333333333,87.5,6
des_moines,2011-12-01,Sulfate,65.5,65.5,2
des_moines,2011-12-01,Total dissolved solids,415.0,415.0,2
des_moines,2012-01-01,Chloride,34.0,34.0,2
des_moines,2012-01-01,Sulfate,63.0,63.0,2
des_moines,2012-01-01,Total dissolved solids,410.0,410.0,2
des_moines,2012-02-01,Chloride,38.0,38.0,2
des_moines,2012-02-01,Sulfate,65.5,65.5,2
des_moines,2012-02-01,Total dissolved solids,420.0,420.0,2
des_moines,2012-03-01,Chloride,34.5,34.5,2
des_moines,2012-03-01,Sulfate,58.5,58.5,2
des_moines,2012-03-01,Total dissolved solids,435.0,435.0,2
des_moines,2012-04-01,Chloride,28.5,28.5,2
des_moines,2012-04-01,Sulfate,46.0,46.0,2
des_moines,2012-04-01,Total dissolved solids,355.0,355.0,2
des_moines,2012-05-01,Chloride,25.5,25.5,2
des_moines,2012-05-01,Sulfate,39.5,39.5,2
des_moines,2012-05-01,Total dissolved solids,385.0,385.0,2
des_moines,2012-06-01,Chloride,23.5,23.5,2
des_moines,2012-06-01,Sulfate,47.5,47.5,2
des_moines,2012-06-01,Total dissolved solids,400.0,400.0,2
des_moines,2012-07-01,Chloride,22.5,22.5,2
des_moines,2012-07-01,Sulfate,49.5,49.5,2
des_moines,2012-07-01,Total dissolved solids,370.0,370.0,2
des_moines,2012-08-01,Chloride,40.0,40.0,2
des_moines,2012-08-01,Sulfate,66.5,66.5,2
des_moines,2012-08-01,Total dissolved solids,420.0,420.0,2
des_moines,2012-09-01,Chloride,65.0,65.0,2
des_moines,2012-09-01,Sulfate,80.5,80.5,2
des_moines,2012-09-01,Total dissolved solids,450.0,450.0,2
des_moines,2012-10-01,Chloride,51.0,51.0,2
des_moines,2012-10-01,Sulfate,80.5,80.5,2
des_moines,2012-10-01,Total dissolved solids,425.0,425.0,2
des_moines,2012-11-01,Chloride,65.0,65.0,2
des_moines,2012-11-01,Sulfate,83.0,83.0,2
des_moines,2012-11-01,Total dissolved solids,470.0,470.0,2
des_moines,2012-12-01,Chloride,63.5,63.5,2
des_moines,2012-12-01,Sulfate,87.5,87.5,2
des_moines,2012-12-01,Total dissolved solids,480.0,480.0,2
des_moines,2013-01-01,Chloride,78.5,78.5,2
des_moines,2013-01-01,Sulfate,86.5,86.5,2
des_moines,2013-01-01,Total dissolved solids,540.0,540.0,2
des_moines,2013-02-01,Chloride,83.5,83.5,2
des_moines,2013-02-01,Sulfate,87.0,87.0,2
des_moines,2013-02-01,Total dissolved solids,535.0,535.0,2
des_moines,2013-03-01,Chloride,26.0,26.0,2
des_moines,2013-03-01,Sulfate,39.5,39.5,2
des_moines,2013-03-01,Total dissolved solids,285.0,285.0,2
des_moines,2013-04-01,Chloride,29.5,29.5,2
des_moines,2013-04-01,Sulfate,49.0,49.0,2
des_moines,2013-04-01,Total dissolved solids,320.0,320.0,2
des_moines,2013-05-01,Chloride,31.0,31.0,2
des_moines,2013-05-01,Sulfate,42.5,42.5,2
des_moines,2013-05-01,Total dissolved solids,435.0,435.0,2
des_moines,2013-06-01,Chloride,20.5,20.5,2
des_moines,2013-06-01,Sulfate,25.5,25.5,2
des_moines,2013-06-01,Total dissolved solids,370.0,370.0,2
des_moines,2013-07-01,Chloride,25.5,25.5,2
des_moines,2013-07-01,Sulfate,35.5,35.5,2
des_moines,2013-07-01,Total dissolved solids,435.0,435.0,2
des_moines,2013-08-01,Chloride,37.0,37.0,2
des_moines,2013-08-01,Sulfate,71.0,71.0,2
des_moines,2013-08-01,Total dissolved solids,385.0,385.0,2
des_moines,2013-09-01,Chloride,106.0,106.0,2
des_moines,2013-09-01,Sulfate,116.0,116.0,2
des_moines,2013-09-01,Total dissolved solids,610.0,610.0,2
des_moines,2013-10-01,Chloride,62.5,62.5,2
des_moines,2013-10-01,Sulfate,96.5,96.5,2
des_moines,2013-10-01,Total dissolved solids,475.0,475.0,2
des_moines,2013-11-01,Chloride,59.0,59.0,2
des_moines,2013-11-01,Sulfate,91.5,91.5,2
des_moines,2013-11-01,Total dissolved solids,465.0,465.0,2
des_moines,2013-12-01,Chloride,72.5,72.5,2
des_moines,2013-12-01,Sulfate,97.5,97.5,2
des_moines,2013-12-01,Total dissolved solids,500.0,500.0,2
des_moines,2014-01-01,Chloride,99.0,99.0,2
des_moines,2014-01-01,Sulfate,120.0,120.0,2
des_moines,2014-01-01,Total dissolved solids,655.0,655.0,2
des_moines,2014-02-01,Chloride,112.0,112.0,2
des_moines,2014-02-01,Sulfate,125.0,125.0,2
des_moines,2014-02-01,Total dissolved solids,680.0,680.0,2
des_moines,2014-03-01,Chloride,116.5,116.5,2
des_moines,2014-03-01,Sulfate,103.0,103.0,2
des_moines,2014-03-01,Total dissolved solids,655.0,655.0,2
des_moines,2014-04-01,Chloride,37.0,37.0,2
des_moines,2014-04-01,Sulfate,48.5,48.5,2
des_moines,2014-04-01,Total dissolved solids,310.0,310.0,2
des_moines,2014-05-01,Chloride,42.5,42.5,2
des_moines,2014-05-01,Sulfate,57.5,57.5,2
des_moines,2014-05-01,Total dissolved solids,365.0,365.0,2
des_moines,2014-06-01,Chloride,34.5,34.5,2
des_moines,2014-06-01,Sulfate,52.0,52.0,2
des_moines,2014-06-01,Total dissolved solids,360.0,360.0,2
des_moines,2014-07-01,Chloride,12.0,12.0,2
des_moines,2014-07-01,Sulfate,17.45,17.45,2
des_moines,2014-07-01,Total dissolved solids,275.0,275.0,2
des_moines,2014-08-01,Chloride,30.0,30.0,2
des_moines,2014-08-01,Sulfate,55.5,55.5,2
des_moines,2014-08-01,Total dissolved solids,405.0,405.0,2
des_moines,2014-09-01,Chloride,22.0,22.0,2
des_moines,2014-09-01,Sulfate,42.5,42.5,2
des_moines,2014-09-01,Total dissolved solids,385.0,385.0,2
des_moines,2014-10-01,Total dissolved solids,490.0,490.0,1
des_moines,2014-11-01,Chloride,43.0,43.0,1
des_moines,2014-11-01,Total dissolved solids,520.0,520.0,1
des_moines,2014-12-01,Total dissolved solids,530.0,530.0,1
des_moines,2015-01-01,Total dissolved solids,560.0,560.0,1
des_moines,2015-02-01,Chloride,31.0,31.0,1
des_moines,2015-02-01,Sulfate,32.0,32.0,1
des_moines,2015-02-01,Total dissolved solids,540.0,540.0,1
des_moines,2015-03-01,Chloride,40.0,40.0,1
des_moines,2015-03-01,Sulfate,46.0,46.0,1
des_moines,2015-03-01,Total dissolved solids,530.0,530.0,1
des_moines,2015-04-01,Chloride,30.0,30.0,1
des_moines,2015-04-01,Sulfate,33.0,33.0,1
